,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,recent_commit_count,projectrank_placing
0,fastui,pydantic/fastui,miscellaneous,True,pydantic/fastui,https://github.com/pydantic/FastUI,https://github.com/pydantic/FastUI,MIT,2023-09-18 08:12:00,2026-04-21 23:07:11,2026-04-21 23:07:10,248,337,69,210,120,120,8988,2025-10-28 08:57:08,0.9.0,9.0,Build better UIs faster.,256.0,256.0,35,25,True,29,1
1,hyperview,Instawork/hyperview,miscellaneous,,,https://github.com/Instawork/hyperview,https://github.com/Instawork/hyperview,MIT,2018-07-25 18:02:29,2026-04-09 17:38:09,2026-04-09 17:36:04,1434,79,43,1103,48,115,1667,2026-03-13 15:43:14,0.106.0,21.0,Server-driven mobile apps with React Native.,23.0,23.0,55,23,True,13,3
2,fastui-tutorials,hasansezertasan/fastui-tutorials,miscellaneous,,pydantic/fastui,https://github.com/hasansezertasan/fastui-tutorials,https://github.com/hasansezertasan/fastui-tutorials,MIT,2024-01-27 16:51:05,2026-04-21 23:07:11,2026-04-21 23:07:10,82,2,2,53,1,10,29,,,,Exploring FastUI features and capabilities with beginner-friendly examples.,,,3,8,False,29,3
